candidate_id,rank,score,reasoning
CAND_0036437,32,0.6556,Candidate has Strong expertise in Embeddings; Strong expertise in Vector Db; Highly responsive to recruiter messages. Concerns: Slightly junior for a founding team role (4.8 years of exp); Missing experience with Python.
CAND_0018888,33,0.6502,Candidate has Ideal experience level (6.5 years); Strong expertise in Vector Db; Strong expertise in Evaluation. Concerns: Missing experience with Embeddings; Missing experience with Python.
CAND_0073504,34,0.6408,Candidate has Ideal experience level (6.6 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 43 days.
CAND_0064270,35,0.6406,Candidate has Strong expertise in Embeddings; Strong expertise in Vector Db; Strong expertise in Python. Concerns: Slightly junior for a founding team role (4.2 years of exp); Missing experience with Evaluation.
CAND_0054394,36,0.6363,Candidate has Strong expertise in Embeddings; Strong expertise in Vector Db; Strong expertise in Python. Concerns: Slightly junior for a founding team role (4.1 years of exp); Missing experience with Evaluation.
CAND_0092255,37,0.6315,Candidate has Ideal experience level (5.2 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Moderate recruiter response rate (38%).
CAND_0017722,38,0.6307,Candidate has Ideal experience level (5.7 years); Strong expertise in Vector Db; Strong expertise in Python. Concerns: Missing experience with Embeddings.
CAND_0082086,39,0.6258,Candidate has Ideal experience level (6.0 years); Strong expertise in Vector Db; Strong expertise in Python. Concerns: Missing experience with Embeddings; Missing experience with Evaluation.
CAND_0043637,40,0.6179,Candidate has Ideal experience level (5.5 years); Strong expertise in Vector Db; Strong expertise in Python. Concerns: Missing experience with Embeddings; Missing experience with Evaluation.
CAND_0066690,41,0.6168,Candidate has Strong expertise in Python; Preferred skill: Fine Tuning; Highly responsive to recruiter messages. Concerns: Slightly junior for a founding team role (4.8 years of exp); Missing experience with Evaluation.
CAND_0072688,42,0.6165,Candidate has Ideal experience level (6.9 years); Strong expertise in Vector Db; Preferred skill: Fine Tuning. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0091909,43,0.6156,Candidate has Ideal experience level (6.9 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 70 days.
CAND_0039587,44,0.6115,Candidate has Ideal experience level (6.2 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0048558,45,0.6111,Candidate has Ideal experience level (6.7 years); Strong expertise in Vector Db; Highly responsive to recruiter messages. Concerns: Missing experience with Embeddings; Missing experience with Python.
CAND_0093763,46,0.6085,Candidate has Ideal experience level (5.0 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Long notice period (90 days).
CAND_0041610,47,0.6076,"Candidate has Ideal experience level (6.7 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Outside Tier-1 India, willing to relocate."
CAND_0061257,48,0.6056,Candidate has Ideal experience level (8.0 years); Strong expertise in Python; Strong expertise in Evaluation. Concerns: Missing experience with Embeddings; Missing experience with Vector Db.
CAND_0008295,49,0.6014,Candidate has Ideal experience level (6.5 years); Strong expertise in Python; Preferred skill: Fine Tuning. Concerns: Missing experience with Embeddings; Missing experience with Evaluation.
CAND_0020954,50,0.6009,Candidate has Ideal experience level (7.1 years); Strong expertise in Embeddings; Strong expertise in Python. Concerns: Missing experience with Evaluation; Long notice period (90 days).
CAND_0058688,51,0.5982,"Candidate has Ideal experience level (6.7 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Inactive for 60 days; Outside Tier-1 India, willing to relocate."
CAND_0073982,52,0.5981,Candidate has Ideal experience level (7.0 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation.
CAND_0049085,53,0.5957,Candidate has Quick joiner (30 days notice); Based in target location (Noida/Pune/Delhi NCR). Concerns: Slightly junior for a founding team role (4.9 years of exp); Missing experience with Python.
CAND_0037566,54,0.5947,Candidate has Ideal experience level (6.9 years); Strong expertise in Vector Db; Strong expertise in Python. Concerns: Missing experience with Embeddings; Missing experience with Evaluation.
CAND_0075574,55,0.5895,Candidate has Ideal experience level (5.7 years); Strong expertise in Vector Db; Strong expertise in Python. Concerns: Missing experience with Embeddings; Missing experience with Evaluation.
CAND_0043860,56,0.5885,"Candidate has Ideal experience level (6.1 years); Strong expertise in Embeddings; Strong expertise in Evaluation. Concerns: Outside Tier-1 India, willing to relocate."
CAND_0007596,57,0.5881,Candidate has Strong expertise in Vector Db; Preferred skill: Fine Tuning; Highly responsive to recruiter messages. Concerns: Slightly junior for a founding team role (4.4 years of exp); Missing experience with Evaluation.
CAND_0054194,58,0.5865,Candidate has Ideal experience level (7.6 years); Preferred skill: Fine Tuning; Quick joiner (30 days notice). Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0030348,59,0.5833,Candidate has Strong expertise in Embeddings; Strong expertise in Vector Db; Strong expertise in Python. Concerns: Slightly junior for a founding team role (4.5 years of exp); Missing experience with Evaluation.
CAND_0015578,60,0.5818,Candidate has Ideal experience level (5.4 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 56 days.
CAND_0046459,61,0.581,Candidate has Strong expertise in Vector Db; Highly responsive to recruiter messages; Quick joiner (30 days notice). Concerns: Slightly junior for a founding team role (4.5 years of exp); Missing experience with Evaluation.
CAND_0007052,62,0.5804,Candidate has Ideal experience level (6.5 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0062247,63,0.5793,Candidate has Ideal experience level (7.3 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Inactive for 34 days.
CAND_0073314,64,0.5791,Candidate has Ideal experience level (5.2 years); Preferred skill: Fine Tuning; Highly responsive to recruiter messages. Concerns: Missing experience with Embeddings; Missing experience with Evaluation.
CAND_0059839,65,0.5789,Candidate has Strong experienced background (9.5 years); Preferred skill: Fine Tuning; Highly responsive to recruiter messages. Concerns: Missing experience with Python; Inactive for 38 days.
CAND_0070496,66,0.5785,Candidate has Ideal experience level (6.0 years); Strong expertise in Vector Db; Strong expertise in Evaluation. Concerns: Missing experience with Embeddings; Missing experience with Python.
CAND_0003977,67,0.5757,Candidate has Strong expertise in Embeddings; Strong expertise in Python; Preferred skill: Ltr. Concerns: Slightly junior for a founding team role (4.6 years of exp); Missing experience with Vector Db.
CAND_0024620,68,0.5757,"Candidate has Ideal experience level (5.9 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Inactive for 45 days; Outside Tier-1 India, willing to relocate."
CAND_0040955,69,0.5756,Candidate has Ideal experience level (6.6 years); Strong expertise in Embeddings; Preferred skill: Fine Tuning. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0090656,70,0.5742,Candidate has Ideal experience level (5.1 years); Preferred skill: Fine Tuning; Quick joiner (30 days notice). Concerns: Missing experience with Python; Inactive for 70 days.
CAND_0085458,71,0.5737,Candidate has Ideal experience level (7.8 years); Strong expertise in Vector Db; Preferred skill: Fine Tuning. Concerns: Missing experience with Embeddings; Missing experience with Python.
CAND_0099806,72,0.5729,Candidate has Strong expertise in Embeddings; Strong expertise in Vector Db; Preferred skill: Fine Tuning. Concerns: Slightly junior for a founding team role (4.6 years of exp); Missing experience with Python.
CAND_0024157,73,0.5711,Candidate has Ideal experience level (5.5 years); Strong expertise in Embeddings; Preferred skill: Fine Tuning. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0037980,74,0.5707,Candidate has Ideal experience level (9.0 years); Strong expertise in Python; Strong expertise in Evaluation. Concerns: Missing experience with Embeddings; Missing experience with Vector Db.
CAND_0062751,75,0.5704,Candidate has Strong experienced background (9.7 years); Preferred skill: Fine Tuning; Quick joiner (30 days notice). Concerns: Missing experience with Python; Inactive for 70 days.
CAND_0058575,76,0.5684,Candidate has Ideal experience level (5.8 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 52 days.
CAND_0053605,77,0.5671,Candidate has Ideal experience level (6.9 years); Strong expertise in Embeddings; Highly responsive to recruiter messages. Concerns: Missing experience with Vector Db; Missing experience with Python.
CAND_0060054,78,0.5668,Candidate has Ideal experience level (6.4 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 71 days.
CAND_0015967,79,0.5665,Candidate has Ideal experience level (5.4 years); Strong expertise in Python; Preferred skill: Fine Tuning. Concerns: Missing experience with Evaluation.
CAND_0047327,80,0.5665,Candidate has Ideal experience level (5.0 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0049543,81,0.5659,Candidate has Ideal experience level (6.1 years); Strong expertise in Embeddings; Strong expertise in Evaluation. Concerns: Missing experience with Python; Inactive for 62 days.
CAND_0002389,82,0.5658,Candidate has Ideal experience level (5.3 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 73 days.
CAND_0075931,83,0.5655,Candidate has Ideal experience level (7.5 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0006567,84,0.5652,Candidate has Ideal experience level (7.9 years); Strong expertise in Python; Highly responsive to recruiter messages. Concerns: Missing experience with Embeddings; Missing experience with Vector Db.
CAND_0076952,85,0.5647,Candidate has Ideal experience level (6.2 years); Quick joiner (30 days notice); Based in target location (Noida/Pune/Delhi NCR). Concerns: Missing experience with Python; Moderate recruiter response rate (11%).
CAND_0039070,86,0.5643,Candidate has Ideal experience level (6.6 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0074486,87,0.5643,Candidate has Ideal experience level (5.5 years); Strong expertise in Vector Db; Highly responsive to recruiter messages. Concerns: Missing experience with Embeddings; Missing experience with Evaluation.
CAND_0052195,88,0.5624,Candidate has Ideal experience level (6.3 years); Strong expertise in Embeddings; Strong expertise in Evaluation. Concerns: Missing experience with Vector Db; Missing experience with Python.
CAND_0061985,89,0.5614,Candidate has Ideal experience level (6.4 years); Preferred skill: Fine Tuning; Tier-1 India candidate willing to relocate. Concerns: Missing experience with Python.
CAND_0009837,90,0.5613,Candidate has Strong expertise in Vector Db; Strong expertise in Python; Preferred skill: Fine Tuning. Concerns: Slightly junior for a founding team role (4.3 years of exp); Missing experience with Embeddings.
CAND_0037000,91,0.56,Candidate has Strong expertise in Embeddings; Strong expertise in Vector Db; Strong expertise in Python. Concerns: Junior candidate (2.7 years of exp); Missing experience with Evaluation.
CAND_0017590,92,0.5595,Candidate has Ideal experience level (5.1 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Evaluation; Inactive for 55 days.
CAND_0045475,93,0.5593,Candidate has Strong expertise in Vector Db; Strong expertise in Python; Preferred skill: Fine Tuning. Concerns: Slightly junior for a founding team role (4.9 years of exp); Missing experience with Embeddings.
CAND_0024216,94,0.5587,Candidate has Ideal experience level (7.1 years); Preferred skill: Fine Tuning; Based in target location (Noida/Pune/Delhi NCR). Concerns: Missing experience with Python; Moderate recruiter response rate (18%).
CAND_0010685,95,0.5579,Candidate has Ideal experience level (6.7 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Inactive for 72 days; Tier-1 India candidate unwilling to relocate.
CAND_0001450,96,0.5578,Candidate has Strong experienced background (9.6 years); Preferred skill: Fine Tuning; Quick joiner (30 days notice). Concerns: Missing experience with Python; Inactive for 80 days.
CAND_0077798,97,0.5572,Candidate has Ideal experience level (8.0 years); Strong expertise in Vector Db; Tier-1 India candidate willing to relocate. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0091745,98,0.5565,Candidate has Ideal experience level (5.9 years); Strong expertise in Python; Preferred skill: Fine Tuning. Concerns: Missing experience with Vector Db; Missing experience with Evaluation.
CAND_0096916,99,0.5565,Candidate has Ideal experience level (6.3 years); Strong expertise in Embeddings; Strong expertise in Vector Db. Concerns: Missing experience with Python; Missing experience with Evaluation.
CAND_0049120,100,0.5551,Candidate has Ideal experience level (7.4 years); Preferred skill: Fine Tuning; Based in target location (Noida/Pune/Delhi NCR). Concerns: Missing experience with Python.
